id,human_readable_id,title,type,description,text_unit_ids,frequency,degree,x,y
f90c2874-b124-41e6-b1f2-fcc09f68de0c,0,ENIAC,硬件,世界上第一台实用的通用电子计算机，能进行每秒5000次加法运算和400次乘法运算，使用18800个电子管，重30吨，耗电150kW，主要用于弹道参数计算,[49d98befbfb0b66736710308a41963d2d12035ca279acbd2e88ee8f15a819f8264e88defbaca99186cc8925c189ddbec959c973f04af1dc36d1ddb972276c58a],1,3,0.0,0.0
2a8a8a01-e72a-4aae-b1b9-94a459197d22,1,电子管,硬件,第一代计算机的核心逻辑元件，体积大、耗电多，是早期计算机体积庞大和耗电高的主要原因,[49d98befbfb0b66736710308a41963d2d12035ca279acbd2e88ee8f15a819f8264e88defbaca99186cc8925c189ddbec959c973f04af1dc36d1ddb972276c58a],1,4,0.0,0.0
a530ddec-ff76-4596-8389-dee4a9fcade5,2,晶体管,硬件,1947年由贝尔实验室发明的半导体器件，为第二代计算机提供了更小、更可靠、更节能的电子开关技术,[49d98befbfb0b66736710308a41963d2d12035ca279acbd2e88ee8f15a819f8264e88defbaca99186cc8925c189ddbec959c973f04af1dc36d1ddb972276c58a],1,2,0.0,0.0
928755ea-cea4-4913-998e-deff5a4d56e2,3,存储程序,理论/概念,现代计算机结构的核心思想，指程序和数据需预先存入主存，计算机可自动逐条执行指令而无需人工干预,[49d98befbfb0b66736710308a41963d2d12035ca279acbd2e88ee8f15a819f8264e88defbaca99186cc8925c189ddbec959c973f04af1dc36d1ddb972276c58a],1,4,0.0,0.0
49945690-d4b1-4cfb-b192-cfe363671255,4,IAS计算机,技术/框架,"冯·诺依曼团队设计的""存储程序""计算机原型，是后来通用计算机的蓝本，标志着现代计算机结构的诞生",[49d98befbfb0b66736710308a41963d2d12035ca279acbd2e88ee8f15a819f8264e88defbaca99186cc8925c189ddbec959c973f04af1dc36d1ddb972276c58a],1,2,0.0,0.0
cbdbe40e-0bae-4c64-b726-da14e800c6a9,5,EDVAC,硬件,冯·诺依曼起草的《关于EDVAC的报告草案》中提出的存储程序计算机方案，是现代计算机结构的理论基础,[49d98befbfb0b66736710308a41963d2d12035ca279acbd2e88ee8f15a819f8264e88defbaca99186cc8925c189ddbec959c973f04af1dc36d1ddb972276c58a],1,1,0.0,0.0
4168df93-51c1-4bba-806d-472bc02895a6,6,普林斯顿高级研究院,机构,冯·诺依曼设计IAS计算机的地点，是计算机科学发展的关键研究机构,[49d98befbfb0b66736710308a41963d2d12035ca279acbd2e88ee8f15a819f8264e88defbaca99186cc8925c189ddbec959c973f04af1dc36d1ddb972276c58a],1,0,,
dce08885-38f6-4381-b681-d492788c4270,7,冯·诺依曼,"","",[49d98befbfb0b66736710308a41963d2d12035ca279acbd2e88ee8f15a819f8264e88defbaca99186cc8925c189ddbec959c973f04af1dc36d1ddb972276c58a],1,4,0.0,0.0
ace353be-6f62-454a-a36c-6064d57df1e1,8,第一代计算机,"","",[49d98befbfb0b66736710308a41963d2d12035ca279acbd2e88ee8f15a819f8264e88defbaca99186cc8925c189ddbec959c973f04af1dc36d1ddb972276c58a],1,2,0.0,0.0
707ec9c0-b183-46cb-8b3e-5ed1d0155f56,9,第二代计算机,"","",[49d98befbfb0b66736710308a41963d2d12035ca279acbd2e88ee8f15a819f8264e88defbaca99186cc8925c189ddbec959c973f04af1dc36d1ddb972276c58a],1,1,0.0,0.0
